Track Name,Artist,Track URL,Duration (s),Danceability,Acousticness,Energy,Liveness,Loudness (dB),Speechiness,Tempo (BPM),Popularity,Release Date,Lyrics,Language
Azhage (feat. Thenuja),Nishan K,https://open.spotify.com/track/5szu1Pw8t4g7hRJmbGKT5Y,272.065,0.578,0.749,0.326,0.139,-13.996,0.0343,89.989,55,2017-02-03,Lyrics not found,en
Anbe Aaruyirae,Prashan Sean,https://open.spotify.com/track/3ebSznljltY5w7kskNlhma,291.311,0.797,0.65,0.591,0.361,-8.811,0.0374,119.05,51,2016-05-24,Lyrics not found,en
Usuraiya Tholaichaen,Stephen Zechariah,https://open.spotify.com/track/2rQBXXubpc4vSztWADytxc,339.503,0.576,0.537,0.574,0.111,-9.579,0.0332,99.991,0,2017-06-01,Lyrics not found,en
Adi Penne (Duet) - From Naam Series,Stephen Zechariah,https://open.spotify.com/track/6XmBh5HSdVzEAaqzEftL9t,301.862,0.591,0.449,0.648,0.382,-7.556,0.0392,107.978,62,2021-03-08,Lyrics not found,en
Sathiyama,Mugen Rao,https://open.spotify.com/track/6t7XOZk8Hv07QJOZVHekFv,278.068,0.63,0.691,0.505,0.084,-7.359,0.0433,144.82,54,2020-05-01,"Neethan, neethan, neethan di enakulla
Nanthaan, nanthaan, nanthaane un pulla
(Music)
Neethan, neethan, neethan di enakulla
Nanthaan, nanthaan, nanthaane un pulla
Kuli dhan, un kannathula vilugudhadi
Nee sirikkayile vali dhan en nenjukulla kadharum adi
Nee alugayila
Azhage nee porandhadhu adhisayama
Ulagam un pasathil theriyudhadi
Nilave, en valkayil oliyamayama
Colour’ah en valkayum marudhadi
Neethan, neethan, neethan di enakulla
Nanthaan, nanthaan, nanthaane un pulla, en pulla
(Music)
Sathiyama, na solluren di
Un paarva aala thukudhadi
Pathiyama nanum pathukuren, unakaaga valkaye vaazhnda padi
Kirukki, un kirukkal ezhuthula dhan
Kiruka enna neeyum mathi vacha
Manasil irukura aasaiya dhan, kiruka na un mela kaati putten
Iru meengal oru odayil, thanneeril thannai ilaka
Un kadhal en kaviyam, kaiyodu dhan kai korka
Enna marandha, enna marandha
Sathiyama na unnil vilundhen
Enna marandha, enna marandha
Sathiyama na unnil vilundhen
Neethan, naandhan
Neethan, naandhan, neethandi enakulla, unakulla
Nanthaan, nanthaan, nanthaane un pulla, en pulla
Boogambam vandhalum asaraadhe en kanmani
Ulagame sulaludhu, kadhal dhan bodhaiya
Osara nee parakura, usura nee tharuviya
Ullukulla na, kadhala dhan, padhiki vachen, thannala dhan
En gundu mozhiyil, na thirudi putten, un kadhalayum iru kannala dhan
Neethan, neethan
Neethan, neethan, neethandi enakulla, enakulla
Nanthaan, nanthaan, nanthaane un pulla, un pulla
Neethan, neethan, neethandi enakulla
Nanthaan, nanthaan, nanthaane un pulla, en pulla
Sathiyama, na solluren di
Un paarva aala thukudhadi
Pathiyama nanum pathukuren, unakaaga valkaye vaazhnda padi
Boogambam vandhalum, asaraadhe kanmani
Ennaalum un ninaivil, nan ingae penmani
Purindhadha?
Puriyum endru ninaikkiren
I’ll see you soon",id
Gaandu Kannamma,Vivek - Mervin,https://open.spotify.com/track/7eS07q4Ft2ySmiH7NalStq,205.0,0.845,0.144,0.798,0.304,-7.018,0.153,89.952,54,2020-02-07,Lyrics not found,en
Graamatthu Ponnu,Viveck Ji,https://open.spotify.com/track/4ou4f3FZex2hUo3QEg7JOk,252.1,0.86,0.15,0.816,0.143,-5.237,0.0531,135.014,44,2014-01-29,Lyrics not found,en
Pogiren,Mugen Rao,https://open.spotify.com/track/4beibTdsFNXHq7bosci34R,243.373,0.455,0.843,0.774,0.131,-7.744,0.0569,142.032,58,2017-12-07,"Pogiren thannale indru
Thedinen un vaasam naan
Yaenginen un kadhalai kondu
Pogiren unnale naan
Oru naal unna parthen
Ennaiye naan ezhanthen
Azhaga en usure koorthuputha
Sevannane’nu kadanthen
Setharaama irunthen
Ulagam nee ena maathiputha, adi
Idhu enna pudhu vidham maayam
En nenjil nee thandha kaayam
Enai vittu nee sellum neram
Vidukathaiyaguthadi
Unnuda’ne enthan payanam
Mudivu adaiya enna karanam
Un kangal sonna poigal
Enna thaakuthadi
Pogiren thannale indru
Thedinen un vaasam naan
Yaenginen un kadhalai kondu
Pogiren unnale naan",id
Abinaya,Mugen Rao,https://open.spotify.com/track/4FUYIGcLpLMzBCx1HLL4sR,198.995,0.601,0.354,0.517,0.0814,-8.55,0.0818,84.856,48,2018-06-15,"Adi penne unnai kanda naal
En nenjil narambugal thudithathe
En kannil kadhal malarnthathal
En kaalgal mele methanthe
Kan ethire thondrinaal devathai
Kai pidikka kanavillaiye
En kanavil theyudhe kai pirai
Un ninaival saagurenadi
Unnai nenachi urugurendi
Nee mattum than enakku venum
Unnai nenachi naan karayirendi
Un kadhal thantha le pothum
Ponale ponale
Ava than usure ponale
Vanthale ava vanthale
Ennai asare vaippale
Abinaya abinaya, abinaya
Sirippile mayakkidum kuzhanthaiya
Abinaya abinaya, abinaya
Kangalal pesinal kavithaiya
Kan ethire thondrinal devathai
Kai pidikka kanavillaiye
Oh .. Ohhh … Ohh
En aruginil roja poothathinal
En naatkal azhagai maaruthadi
En iravinile ozhi kathirai
Un mugam thanai therinthadi
En aruginil roja poothathinal
En ulagam azhagai maaruthadi
Muzhu nila mel irundhu vandhu
En vazhkai neeyena solluthadi
Kannukulla unna vachi parthupenadi
Unnai thavire verai ponne paarkala adi
Nalla naala parthu maman kaiye nee pidi
Katti mehlam kotti vanthu
Katturen maman kazhuthula thaali
(MUSIC)
How crazy can you be?
Rombave, unakaaga
Kan ethire thondrinaal devathai
Kai pidikka Na Na Naa Na Na
En kanavil theyudhe kai pirai
Un ninaival Na Na Naa Na Na Na
Abinaya…",id
Ennai Kollathey,Ztish,https://open.spotify.com/track/5Tu2xARdujxgjxazGYvD7n,324.048,0.571,0.328,0.477,0.33,-7.546,0.0253,99.036,55,2016-07-08,Lyrics not found,en
Naan Kudikka Poren,Ratty Adhiththan,https://open.spotify.com/track/7dz92P4LmPOl81fNcHjEUV,257.736,0.785,0.23,0.602,0.0708,-9.137,0.219,89.994,55,2019-11-01,"[Sahi Siva]
Velli kilamai unnai naan
Paarthen muthale oraima
Ninnu rasichaa
Jenakku ver onnum theve ille
Penkoottatthile nee oru
Thevatha kuyile iraivanum
Sethakkiya silaiye unatthaan
Naan thedi ododi vandhen
Ara bottle eh adiccha piragum
Steel body ah nikkirendi
Un valaivudan alagu kandu
Idhayam thikkithu vikkithu nikkithadi
[Ratty]
Naan kudikka poren
En kappule katppana kottuthe pulla
Kaathaliye theda
Kavithai kottuthu sothana ullukkul illa
Maane mayile manjatthile kuyile
Olakku ennadi silakku
Unakku veccha sethi kuyile senthamil mayile
Irangi kadakku manasu",fi
Ailesa,Shakti Sivamani,https://open.spotify.com/track/1hP0hDL5VREpThmMOa1pta,250.601,0.628,0.27,0.79,0.606,-7.159,0.0655,132.983,44,2018-01-15,Lyrics not found,en
Shades of Kadhal,Maran,https://open.spotify.com/track/7kJVLzF7COXgFVlKRaYwoK,176.0,0.596,0.604,0.746,0.0851,-6.743,0.0441,170.083,46,2019-12-25,"[Intro: Bosx1ne]
Thahahaha, oh
[Chorus: Bosx1ne]
Yah, I want morning sex and I don't wanna stress
Baby, take off your dress (
ExB!
)
Let's make some mess, so baby, tell me
Can you do that for me, eyy, do that for me
Can you do that for me, eyy, do that for me
Yah, I want morning sex and I don't wanna stress
Baby, take off your dress (
ExB!
)
Let's make some mess, so baby, tell me
Can you do that for me, eyy, do that for me
Can you do that for me, eyy, do that for me
[Verse 1: Flow G]
Nagising ako dahil napakainit talaga naman nakakabwiset
Kahit na ipilit ko na ipikit ang mata ko
Hindi ko na mabalikan ang masarap na paniginip
Hanggang sa nakaisip ako ng paraan tutal ako'y gising na
Imbis na matulog ako ulit dahil sa'king palagay
Mas masarap almusalin ka, pero bago ang lahat
Gusto ko munang tanungin, ano ang kaya mong gawin?
Para ako'y pasayahin, tatapatin kita, hindi kita gustong pakiligin
Gusto kitang kilitiin at pisilin nang pisilin
Dapat alam mo rin, ikaw ang bahala sa sigaw
'Wag ka mag-alala akong bahala sa galaw
Basta masabaw, kumakain ako ng hilaw
At ikaw naman ay dapat mangako na hindi ka aayaw",tl
Vaseegara And Zara Zara Mashup,Jonita Gandhi,https://open.spotify.com/track/2cZOatuw9cUCVVedHqYlbT,184.67,0.833,0.709,0.193,0.0657,-10.131,0.272,129.929,48,2020-02-20,Lyrics not found,en
"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,https://open.spotify.com/track/6sAdmaffuMijDszeFrGF1H,260.812,0.571,0.0966,0.818,0.16,-3.926,0.0857,160.036,59,2015-02-14,Lyrics not found,en
Kanna Veesi,Siddhu Kumar,https://open.spotify.com/track/58ys6AEobZzd9e5ctW4Vm2,171.974,0.598,0.696,0.48,0.104,-8.205,0.0511,157.082,61,2020-01-05,Lyrics not found,en
Po Po Yen,Sid Sriram,https://open.spotify.com/track/6Q5Qwg86SsmUhlWlVFc1Le,246.986,0.627,0.363,0.537,0.114,-8.588,0.0295,115.011,53,2017-02-14,"Po Po Yen
[intro :Sid Sriram]
[verse 1]
PO PO YEN idhayam Tharayil vizhudhu sithari pogattum
PO PO YEN nizhalum pirindhu ennai Thanimai aakkatum
Kovam un kovan en nenjai kondru poga
Kangal en kangal kanneeril Nanayudhey
Podhum Ippodhum Eppothum Un Ninaivugal
Paavam En Ullam, sollamal Karayuthey
[verse 2]
Kayaththai Kan kondu paarthida mudiyum
Vazhiyai kandida Kangal illai
Kaatrinai Kai neetti Theendida mudiyum
Ooviyam Aakida yaedhum illai
Kaadhal Mazhalayin Vaarththai Allavaa
Sonnaal Purivadhu Kasttam allavaa
[chorus]
PO PO YEN idhayam Tharayil viludhu sithari pogattum
PO PO YEN nizhalum pirindhu ennai Thanimai aakkatum
Yaeno ennai mattum Vazhkai Kolluthadi
Naandhaan enna Seiya? Ellam Kai vandhu Poguthadi!!
[verse 3]
Nee yen Arugilaey irundha podhu Parandhavan
Nee yen Tholaiviley pirindha podhu sithaindhavan
pothum unnaley Thool Thoolaai Udaigiren
pothum unnaley ennodu azhugiraen
Yaethum ennodu illamal pogattum
Nee yen Kai korththu Vaazhthaal podhumey",id
Pagal Iravai | Maraigirai,Pranav Das,https://open.spotify.com/track/2jQQTuzwJWEtwayffAADIe,288.166,0.531,0.28,0.475,0.162,-9.707,0.0487,89.947,55,2021-01-13,Lyrics not found,en
Mai Potta Kannala,EJ Brothers,https://open.spotify.com/track/2pCD6rXxfxzBL60D2u3RX5,273.847,0.749,0.721,0.498,0.115,-10.604,0.104,159.97,49,2017-07-01,Lyrics not found,en
Maya,Mugen Rao,https://open.spotify.com/track/3Um4k1xWbxabFjwJAs8vdd,196.022,0.608,0.55,0.514,0.136,-8.717,0.0477,119.954,46,2019-08-23,"Kanamale povathadi
Un nenappil naanum inga
Venamu’nu sollathadi
Venumu’ne neeyum ninnu
Yeno yeno unnai paarkamale
Kangal rendil kanneer kudiyeruthe
En thozhi unthan thozhil dhinam saayamale
En pagal ingu iruttiduthe
